,PR_type,info_cost,worker_id,assignment_id,pid
19,2,1.6,A1HFRP0CYB6IGF,3JMSRU9HQIUPE99LMA5VFZUE172EV7,19
20,0,2.8,A1HGSSITI7GRQS,33PPUNGG385VWXJ09DEYZC6T47YRZX,20
21,2,0.01,A1HXZLVIVK5HJE,3C8HJ7UOP7U4ZH6845IHDDCJYK6ZMO,21
22,1,0.01,A1KVHMCUC5E0MS,3H8DHMCCW9B66S19RBG4781CLXVDKS,22
23,1,0.01,A1LIB650YAB82E,3UNH76FOCS54URW38JGYZ63HSQWYMQ,23
24,1,1.6,A1M0JDU08KRH7X,3A4TN5196KI5ZAUNLUIWAA328GEHCR,24
25,1,2.8,A1MAAPY9K1G1YR,33PPUNGG385VWXJ09DEYZC6T470RZZ,25
26,2,2.8,A1NIKHUA79SWGD,373ERPL3YO8ZALA13LPGDO5CJBJRTO,26
27,0,0.01,A1PMZUBGXFANCI,3R9WASFE2ZGYT7ERIIE4INSA1JOZFB,27
28,2,1.6,A1QJ2VPPZG16EG,3X4MXAO0BGOR22EVYQUR08CBN5URW7,28
29,0,0.01,A1QNHP262DXUDH,3UWN2HHPUY5DGN5ULE39UZ4GGVBNS2,29
30,2,1.6,A1U37XNO6J1R9G,3OXV7EAXLEQ1PLENWIGRKGAITPN36G,30
31,1,1.6,A1V3FV89RVGASD,39N5ACM9HENVETL8SNGAHT4LOMLP9N,31
32,1,1.6,A1WMOYIMJMIV9P,32EYX73OY09EAYPQ3QFQIKRE2PQRUF,32
33,2,2.8,A1WWPREEDRRKML,32VNZTT0A74FT0VBOKO85GTK3CX4R0,33
34,1,2.8,A1X1GFV9H8AGSL,3PJUZCGDJ6GA81MR66EZV79VZCL98N,34
35,0,1.6,A1XO8OG4R3A7BJ,32RIADZISS4RUFVO39ODVQYGPEH4SP,35
36,2,2.8,A1XVYOL52UT8T9,3J88R45B2GYLFP36V3MOXWQ3VPDPX7,36
37,0,0.01,A1YH20CUYZOF6I,3MD9PLUKKIEAHZR8G6XHQS1J3A9ZNH,37
38,0,1.6,A1Z6F664MYBMVI,39KFRKBFINVSUUHFLZVBRASMNQAOYU,38
39,1,2.8,A20CZCJPRP54G9,3WEV0KO0OMS4UBEHWKP6YUSM2R7SDN,39
40,2,0.01,A20TXFAVV4IXHX,32XVDSJFPZXET63WFY93Q22CDB2M2Y,40
41,2,1.6,A221JJK7P6K22W,3IOEN3P9S7J5FI089E28WNVLV5861Q,41
42,1,1.6,A23GOZ33HMA3P1,3XM0HYN6NKZC9PCP0YWW975WFJ1EPM,42
43,2,2.8,A24GXI3J2NCGG6,3NAPMVF0ZWFV83W9BS7E7K5MIM7728,43
44,0,0.01,A258IQXX7F3Z8O,3OE22WJIGIOEYXAQQBQQDUH963IQU7,44
45,0,1.6,A26A4HEBGP2MOX,3180JW2OT4CGRVGYUKY98HD7TRW5JC,45
46,2,1.6,A27C390EYECHAN,3W8CV64QJ2Z31CNK9A858K2U2VB9H2,46
47,1,1.6,A27SMEOPKV84VI,3SNVL38CI4SW10VVRFLTN2JU0XICKQ,47
48,1,0.01,A29AX5O8KL48F8,31N2WW6R9RQX8E7YXBJVEMNVMOWF31,48
49,2,1.6,A2A0ND7OPABVWX,3SKEMFQBZ35UPX5IA35OLGNBA668KP,49
50,0,2.8,A2CB7WDJ9V6VVN,3N2BF7Y2VQUI8W6EYJCAD68E2UJHMA,50
51,1,0.01,A2EYPSP4BXAZZ2,3WJ1OXY92AGODKWWYCSZR2KF5U48A2,51
52,1,1.6,A2FSFS6OBFLNRC,3FTYUGLFSUL3O9G6KOCY5JIUO715D0,52
53,1,1.6,A2I3Y0L38HMQLZ,3K772S5NP8BKW8E1HLOR0Y35TSRHEK,53
54,0,2.8,A2IRBZJJEB9P5E,3XCC1ODXDLBMI5I9MHVL8JUPZ4CRQ2,54
55,0,2.8,A2IWY65OSE8R9U,3BQU611VFPKAM651BYKDV346JI399C,55
56,0,0.01,A2IYFIFGMO8N0F,3DL65MZB8DFTF03LVTAQP76PG0NEC9,56
57,0,2.8,A2J237J8KM3OCS,3WAKVUDHUWG4SF5BUCHKD30E1DQ7UQ,57
58,0,1.6,A2J6T9ELNZ97JH,3DR23U6WE5EA1H5WHF5GEH6T4MMETR,58
59,2,0.01,A2JHF7CU91EVXW,3IQ1VMJRYTKORPF634YDRYFQP0L9AR,59
60,0,0.01,A2L22HZ50T83UK,3J4Q2Z4UTY3RQ1ZVLB5RVI26RJTQW6,60
61,0,0.01,A2MSVKXC1F3WIU,34QN5IT0TZRSC7YE6AV62W82W8R80A,61
62,0,0.01,A2O543PJ8110HB,3E7TUJ2EGCMMPWIINEPFHZNWA3JD9Y,62
63,0,1.6,A2O7P3NAOR9TUG,3W8CV64QJ2Z31CNK9A858K2U2VBH9A,63
64,2,1.6,A2OFN0A5CPLH57,3T3IWE1XG6NZYKV1Q60G8YV7NPAQTF,64
65,2,1.6,A2PMT4061B1NDP,30H4UDGLT2IALD42HWKFMFA5OLUPMO,65
66,2,1.6,A2QRYZKNA9XT4T,33F859I566DMP52H7UM1ZQXKQVEHBK,66
67,1,0.01,A2RN74UCHE5CYI,3FTYUGLFSUL3O9G6KOCY5JIUO70D57,67
68,2,0.01,A2S4YDJ9UGAXFQ,3HWRJOOET529MHSHSF0Q4CA7238ES2,68
69,0,2.8,A2S6B9Q48MAV2T,3MRNMEIQW56HQYJRCBS5M8ERAX0DLV,69
70,1,2.8,A2SERVZCT0CPTR,3CFJTT4SXTQZJOAB0VS6U0C37I47IJ,70
71,0,0.01,A2SF0TUK6XTPCO,31UV0MXWNQCKWKWSC2D9WGY7GC75I0,71
72,0,0.01,A2SY2N44N1RWVA,3OE22WJIGIOEYXAQQBQQDUH963IUQB,72
73,2,2.8,A2UTWQS99Y0NRH,3WSELTNVR327B4OK1A3UIYG2J7OATS,73
74,2,2.8,A2V3P1XE33NYC3,3NG53N1RLVJV0O2YNVAWHX9A4G38PH,74
75,1,2.8,A2Y3ZU2QZB0BJ0,3A4NIXBJ76ZKUSP4P4R85Y1LJBZMLT,75
76,0,0.01,A2ZJ5515LO5JUT,30OG32W0SUBC640CKJJ45I01F40ENQ,76
77,2,1.6,A2ZR3PL5I0KPQ6,32RIADZISS4RUFVO39ODVQYGPEES4A,77
78,0,1.6,A315DU4UI95TUD,3HMVI3QICJS7Y2AEFXX0FEFEUF9Y1Q,78
79,1,0.01,A317L37U2W6R4P,3S3AMIZX3U5ONUPLZYZ6JPO4GOMDCF,79
80,0,0.01,A320QA9HJFUOZO,3HYA4D452RJ8NWBFTB5QVCI3GAO2F5,80
81,2,0.01,A3358U09D6RYBU,3KJYX6QCM9BXPPVD0BGMCF766FYJVX,81
82,2,1.6,A3393BNKSERK59,3L2IS5HSFAITV0XYAJY990M41S1UNU,82
83,0,2.8,A34SLWTNACPBMO,3H0W84IWBK2XL2S4DQ0LE25BG1PRER,83
84,2,2.8,A369RSNFVB856W,3Z7EFSHGN9E2L0U2QY0IDWRWW6WXCZ,84
85,1,0.01,A384RYM14QK8JY,3WZ36BJEV3GCUETC7O3QD9081PCBTR,85
86,2,1.6,A38MVWR1ZA9U0,3XUHV3NRVKYK0PL86KVOW4XSGZVH5M,86
87,1,0.01,A39MOCMDRIOSJM,3PDJHANYK5GGJTLMB35TOABSCU3H6Z,87
88,1,0.01,A3B7TNVOISSZ2O,3DIP6YHAPCSR3XD8EHULNLA6Q918EW,88
89,2,1.6,A3CDJ8PZX578GQ,3RSDURM96AM6I34QRLSFMYY8JO4EYG,89
90,2,0.01,A3CPZZNZDLFL6Z,36PW28KO4ZW5ML6NBFEZJCG1GX1AE2,90
91,0,2.8,A3D29UMTB8DMDA,3BQU611VFPKAM651BYKDV346JI599E,91
92,1,1.6,A3DFCGAXJHV1P9,38F71OA9GTWYU0F83TOAALW1MF6MFH,92
93,1,1.6,A3F8AXBIIGIR3A,3ZR9AIQJUB9RT6BCU75TLKSXUMV04V,93
94,0,1.6,A3FGT6EU39C6S4,3YJ6NA41JBGKK5YHEZ7N6NIOKRXJPC,94
95,0,2.8,A3FXJT6ZRWE3Z2,3HOSI13XHZOYSMVZZUUH3V6M1OYDDF,95
96,2,0.01,A3GAQNTZ1V1VO,388U7OUMF71YUCDA5J16TD37M0G0RF,96
97,2,0.01,A3H4B9BMSFGXWG,35DR22AR5DKE80YJX5PHKTN2QTL3X9,97
98,2,1.6,A3H4UQ9CWLAILN,3KRVW3HTZNL7Y5KU9DO9HKFGB5ZMSZ,98
99,1,0.01,A3HBMPB74FWI1,3OF2M9AATGO99T65JT51Y0KF9FBZKJ,99
100,0,0.01,A3HQXCWOIQKT4F,3PW9OPU9PQKHXHH7MCQ56AE9F0E21D,100
101,0,2.8,A3IMQJZQEV9BIO,39LOEL67OS5OTZXBPXDP4U69ZKD382,101
102,2,1.6,A3KIE6ZNXVEIAY,323Q6SJS8IGC2MEXCW8XIGO55T6HF2,102
103,0,0.01,A3N0Q5MZ1XCF8K,3ERMJ6L4DYSLF702LAQYMTJKORM7MX,103
104,0,0.01,A3P7Y9YBJ875WK,3IXEICO792J6O2CHBXMI2TEGNOZT6M,104
105,0,2.8,A3PP1JY915TWIQ,3OHYZ19UGC5RYCJC5THVOOAFKZGAOF,105
106,0,0.01,A3R6HC9OAF77Q2,36DSNE9QZ5Y2Z5MGZZU8HNDYAM1JOV,106
107,1,1.6,A3RIFUEQ95MR16,3SNLUL3WO4N370UDY6IUW8IFWX2LUK,107
108,1,1.6,A3T7N805PVNEXN,3OS4RQUCR9F2B9BBC4Y1W5L7AG2FBL,108
109,2,2.8,A3UUH3632AI3ZX,3NS0A6KXC48477AMT2KM08SM2YOZGA,109
110,1,0.01,A3UV9UAE6MP36J,3XXU1SWE8MV6VVRT38FKYNEXMWS0A7,110
111,0,1.6,A3VDFWL4MI3KPA,3IAEQB9FMEKX1SVQGPZ7VJV7843DWN,111
112,2,2.8,A4158R4Y06ZB4,37Q970SNZE8A2GY5GR5BXSRDDUBS14,112
113,1,2.8,A44UXOE20R218,3QFUFYSY9YFIQAQ2XPOEORF10OL4F4,113
114,1,0.01,A4SC8G0149GEG,354GIDR5ZB6AUITBB6IR9H2KDAF00F,114
115,0,1.6,A4T50ODN6SGNR,3I02618YA06TYL9BQYB1DPRZ172PUL,115
116,0,1.6,A5ET25WTBJC0J,3R2PKQ87NW8I4RHY41UVDI9T27XMI7,116
117,1,0.01,A61OLUHK1HP1X,39JEC7537U1AHBP7QJZ0PBUBGVQCVD,117
118,1,2.8,A667L63P4M8NO,3ATPCQ38J8A3SQNEBGQTQF8HY97AYI,118
119,0,1.6,A6KN5WRLABZUT,3LJ7UR74RHDUE23JVD7RWWOA2FEN41,119
120,2,2.8,A6U2C66WQ7QQN,3DH6GAKTYYP4TYVMN86S78ZQ7UDZY7,120
121,2,0.01,A7O82NXM2PI12,3300DTYQT2HX91D40BBL9CV6KFNEQD,121
122,2,1.6,A7XL1V3G7C2VV,3KXIR214I4GYPGEQ9U9748LCRKN24P,122
123,0,1.6,A86GXTTKNNOQO,3MHW492WW0DNQX1Y38TES7ZNA90MVB,123
124,2,0.01,A8N43GD5RMBOT,3BDCF01OGXUKO9EI87FJZTOSSL5LYA,124
125,1,2.8,A8SD5DJ3KBLLR,3WLEIWSYHOHS1S2LO1TQYXUGWP22H4,125
126,0,2.8,A9HQ3E0F2AGVO,3VAR3R6G1P1DFOQX8VXHSX4KUB88O1,126
127,0,0.01,AAASQIW3J32OL,30ZX6P7VF8VOSYXBC1WBAAAV9H52J8,127
128,0,2.8,AAEZQL4J6CQGM,34YB12FSQYO480B3EDUSS6WDNU6GMA,128
129,2,0.01,ADCXF6QY5T046,33UKMF9319KCQ0NT7AUBD36U7WATTX,129
130,0,0.01,AE1YA7Q3UKPRI,3Q8GYXHFEP2TJHASKSHNLD0C37PC57,130
131,1,0.01,AF822CC8L2GL0,3QY7M81QH7MQPJ0Z0YDI7GRGZMS7KT,131
132,0,1.6,AGNJKSH5LFKXZ,34MAJL3QP4NNAYA9DUNCNIQ4XYH43W,132
133,1,1.6,AGQ12PTGHKMDU,3Q5C1WP23M19WE0U4VS34HHLZA451G,133
134,2,2.8,AHLADH7JTJRO8,33M4IA01QG16R2JL8VQD2RQIW77RX7,134
135,0,1.6,AILWP7XEFNWN7,3IKZ72A5B4G4CI08FU3AN0L1R5NFNH,135
136,0,1.6,AJF954955YWZG,3BXQMRHWKZYNDICYYIJ9WLX4W2KMUF,136
137,1,1.6,AK3H5QRAROFGP,3OF2M9AATGO99T65JT51Y0KF9F5ZKD,137
138,0,1.6,AKVDY8OXNMQED,3KV0LJBBH2LVXQKHUOO4RAAKP3GMRB,138
139,2,0.01,AL2S45JAIGEUL,3JJVG1YBEBXA9CIM6SLSATUULMVB55,139
140,1,2.8,AM8HWCZFGT1O5,3PZDLQMM0TL1KKR529FPN6X0JXY2CW,140
141,1,2.8,ANMXMEB55AGM6,3SKRO2GZ71RCEXLXBIW96603W0RK18,141
142,0,1.6,APF1EAZT104LQ,3TAYZSBPLL8HR1G1ZV5P2B1I50PS2L,142
143,1,1.6,AQERDHDH095OL,3QEMNNSB2XZIBDUP8HRV33WQFD37DO,143
144,1,0.01,AT7WD8B6FEUUS,39O5D9O87TSQ52NO69TU6G2SPBYC3H,144
145,0,2.8,AUDUTWH9IX1IR,3K772S5NP8BKW8E1HLOR0Y35TSSEHI,145
146,2,0.01,AV08UM669CO02,3ITXP059PWJHXXE96GBH1SNZ7B4JSS,146
147,1,2.8,AVBRJBJONL47I,3TR2532VIPUCAZGCZ38E0NR7PM96JV,147
148,1,2.8,AVJUIF9QHQRY8,3IX2EGZR7BJ5WIEWRRBCBII3L9KRJB,148
149,0,2.8,AVWQ0HFG6EVYH,31QTRG6Q2TDAFUTG0Z8QGAXCXV6PYC,149
150,2,0.01,AW00A1E09VH8K,3DY46V3X3PI8KW1D5IUF77U2BQ255R,150
151,0,2.8,AWSTSSR9X0X95,3PB5A5BD0V6LNX4GA7S39OZNS5C7GR,151
152,2,2.8,AXPP6I0W11RTS,34S9DKFK73PAC9H3KKVYCLSHXG6NYF,152
153,0,0.01,AYQH26R4KXW2K,3R08VXYT7CVHKJUGPCWLVRLBMT07WO,153
154,1,2.8,AZIAQJWXTSFUX,38JBBYETQOAQKWQ62E4869U1ON74EN,154
