,rt,time_elapsed,trial_type,view_history,worker_id,assignment_id,pid
50,56718,663543,instructions,"[{""page_index"":0,""viewing_time"":32126},{""page_index"":1,""viewing_time"":19647},{""page_index"":2,""viewing_time"":4944}]",A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
61,88543,88544,instructions,"[{""page_index"":0,""viewing_time"":34798},{""page_index"":1,""viewing_time"":16607},{""page_index"":2,""viewing_time"":28228},{""page_index"":3,""viewing_time"":8908}]",A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
63,35714,158511,instructions,"[{""page_index"":0,""viewing_time"":2544},{""page_index"":1,""viewing_time"":15769},{""page_index"":2,""viewing_time"":12831},{""page_index"":3,""viewing_time"":4569}]",A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
65,90020,269374,instructions,"[{""page_index"":0,""viewing_time"":24002},{""page_index"":1,""viewing_time"":14712},{""page_index"":2,""viewing_time"":39968},{""page_index"":3,""viewing_time"":11337}]",A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
76,86642,86642,instructions,"[{""page_index"":0,""viewing_time"":30047},{""page_index"":1,""viewing_time"":17039},{""page_index"":2,""viewing_time"":29262},{""page_index"":3,""viewing_time"":10293}]",A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
78,98904,252146,instructions,"[{""page_index"":0,""viewing_time"":20756},{""page_index"":1,""viewing_time"":10556},{""page_index"":2,""viewing_time"":22708},{""page_index"":3,""viewing_time"":18584},{""page_index"":2,""viewing_time"":1636},{""page_index"":1,""viewing_time"":1616},{""page_index"":0,""viewing_time"":11068},{""page_index"":1,""viewing_time"":4141},{""page_index"":2,""viewing_time"":6319},{""page_index"":3,""viewing_time"":1520}]",A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
80,12633,537636,instructions,"[{""page_index"":0,""viewing_time"":1138},{""page_index"":1,""viewing_time"":1220},{""page_index"":2,""viewing_time"":1432},{""page_index"":1,""viewing_time"":2795},{""page_index"":2,""viewing_time"":4158},{""page_index"":3,""viewing_time"":1889}]",A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
82,3798,556983,instructions,"[{""page_index"":0,""viewing_time"":963},{""page_index"":1,""viewing_time"":917},{""page_index"":2,""viewing_time"":1097},{""page_index"":3,""viewing_time"":821}]",A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
93,97108,97108,instructions,"[{""page_index"":0,""viewing_time"":51505},{""page_index"":1,""viewing_time"":26051},{""page_index"":2,""viewing_time"":19551}]",AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
95,53061,176727,instructions,"[{""page_index"":0,""viewing_time"":16698},{""page_index"":1,""viewing_time"":18774},{""page_index"":2,""viewing_time"":17589}]",AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
97,74365,270004,instructions,"[{""page_index"":0,""viewing_time"":67181},{""page_index"":1,""viewing_time"":5787},{""page_index"":2,""viewing_time"":1396}]",AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
